kind,predictor_set,stratum,value,n,r2,delta_r2,resampling,groups,r2_low,r2_high,delta_low,delta_high
region_block,state_plus_weather,observation_quality,history_has_gaps,66267,0.448235302538,0.00451896925852,fire_id,22488,0.425900944726,0.469806126086,0.00360362014141,0.00562539239717
region_block,state_weather_interactions,region,central,24323,0.175097264127,0.03132128106,fire_id,10105,0.14554290773,0.201491518784,0.0265862735209,0.0375671487942
region_block,state_weather_interactions,region,east,17224,0.332750040166,0.0272135474755,fire_id,6575,0.258155547433,0.42356650573,0.0109113693034,0.0418489031683
region_block,state_weather_interactions,region,intermountain,23399,0.410618751324,0.0110553763266,fire_id,8866,0.380327864064,0.440799959628,0.00638770178196,0.0160095870727
region_block,state_weather_interactions,region,west,22998,0.506541361894,0.0218775748972,fire_id,6154,0.485193149193,0.530575826684,0.0177460578077,0.0259856823966
region_block,state_weather_interactions,season,DJF,12759,0.183592773245,0.0496863980461,fire_id,5237,0.123408997944,0.260354195395,0.0409641155502,0.0573007460496
region_block,state_weather_interactions,season,JJA,29913,0.511718440732,0.0159668680565,fire_id,8208,0.486517591449,0.530584628081,0.012630083993,0.0204704764341
region_block,state_weather_interactions,season,MAM,20363,0.363515676857,0.0132811785681,fire_id,8398,0.323336375032,0.3976053402,0.00815194668799,0.0185617410909
region_block,state_weather_interactions,season,SON,24909,0.393929379944,0.0269740565214,fire_id,9857,0.354793521279,0.433748682054,0.0221177618473,0.0313715081513
region_block,state_weather_interactions,size_class,"(0.0, 1.0]",1947,-8.08093884515,-0.556179610908,fire_id,1838,-9.0069621724,-7.25283189029,-0.823491618017,-0.362220285225
region_block,state_weather_interactions,size_class,"(1.0, 10.0]",46640,-0.225455354167,0.0368783232466,fire_id,23072,-0.239443045356,-0.208741984436,0.0319198605273,0.0420173069136
region_block,state_weather_interactions,size_class,"(10.0, 100.0]",31106,0.0876651560755,0.0136231632258,fire_id,6160,0.0741386070594,0.102957452271,0.00965768639765,0.0176053542151
region_block,state_weather_interactions,size_class,"(100.0, 1000.0]",7652,0.312495104395,0.0406781866081,fire_id,599,0.280970540144,0.334293799349,0.0305933479063,0.0502497607872
region_block,state_weather_interactions,size_class,"(1000.0, inf]",599,0.399626353809,0.0909532904487,fire_id,31,0.272084351586,0.475266337702,0.0488413052002,0.145346612922
region_block,state_weather_interactions,observation_quality,consecutive_history,21677,0.477973271795,0.0208500315807,fire_id,9212,0.445456884763,0.507310050434,0.0170121904335,0.025435076073
region_block,state_weather_interactions,observation_quality,history_has_gaps,66267,0.460742418759,0.0170260854802,fire_id,22488,0.436900388806,0.482456672474,0.0146096394479,0.0197847448644
region_block,weather_only,region,central,24323,-0.188533939757,-0.332309922824,fire_id,10105,-0.219397394708,-0.164573982477,-0.359668352308,-0.308110419484
region_block,weather_only,region,east,17224,-0.0282439027914,-0.333780395482,fire_id,6575,-0.0561360797208,-0.00214011558012,-0.415357447054,-0.269816403817
region_block,weather_only,region,intermountain,23399,0.022349556017,-0.37721381898,fire_id,8866,0.00704366331467,0.037398001549,-0.400357788162,-0.351643988557
region_block,weather_only,region,west,22998,-0.0336500778322,-0.518313864829,fire_id,6154,-0.0483745708399,-0.016738938857,-0.554258364619,-0.486605666469
region_block,weather_only,season,DJF,12759,-0.0383357252009,-0.172242100399,fire_id,5237,-0.0686972150455,-0.00390979826999,-0.232142503891,-0.12648853519
region_block,weather_only,season,JJA,29913,-0.00903425580269,-0.504785828478,fire_id,8208,-0.0198458025696,0.00808851389082,-0.528344819679,-0.474375728844
region_block,weather_only,season,MAM,20363,0.0300475782409,-0.320186920048,fire_id,8398,0.0152475654913,0.0447882037647,-0.356038074122,-0.283050685905
region_block,weather_only,season,SON,24909,-0.0361059195763,-0.403061242999,fire_id,9857,-0.0668142904518,-0.00923014275674,-0.423299944558,-0.379417416314
region_block,weather_only,size_class,"(0.0, 1.0]",1947,-107.337218935,-99.8124597008,fire_id,1838,-117.9919976,-98.4604452325,-109.773935677,-91.7416019111
region_block,weather_only,size_class,"(1.0, 10.0]",46640,-1.05267138422,-0.790337706806,fire_id,23072,-1.0940520518,-1.00668805607,-0.825119643865,-0.746438486245
region_block,weather_only,size_class,"(10.0, 100.0]",31106,-0.0658478445905,-0.13988983744,fire_id,6160,-0.0746877153219,-0.0555325628558,-0.156931767491,-0.124339291169
region_block,weather_only,size_class,"(100.0, 1000.0]",7652,-0.788890863807,-1.06070778159,fire_id,599,-0.855193719932,-0.732569155395,-1.11964935284,-1.00967202876
region_block,weather_only,size_class,"(1000.0, inf]",599,-1.76544250027,-2.07411556363,fire_id,31,-2.4397360808,-1.3456029862,-2.64084848006,-1.66347989847
region_block,weather_only,observation_quality,consecutive_history,21677,0.0605153374586,-0.396607902756,fire_id,9212,0.0456437798091,0.0739442017957,-0.419450917648,-0.370220504057
region_block,weather_only,observation_quality,history_has_gaps,66267,0.0427464212812,-0.400969911998,fire_id,22488,0.0353068290985,0.0499121973892,-0.423223309088,-0.378542286221
spatiotemporal,autoregressive,region,central,24323,0.143470053103,0,fire_id,10105,0.110721694213,0.172647168846,0,0
